11,110,서울특별시 종로구
11,140,서울특별시 중구
11,170,서울특별시 용산구
11,200,서울특별시 성동구
11,215,서울특별시 광진구
11,230,서울특별시 동대문구
11,260,서울특별시 중랑구
11,290,서울특별시 성북구
11,305,서울특별시 강북구
11,320,서울특별시 도봉구
11,350,서울특별시 노원구
11,380,서울특별시 은평구
11,410,서울특별시 서대문구
11,440,서울특별시 마포구
11,470,서울특별시 양천구
11,500,서울특별시 강서구
11,530,서울특별시 구로구
11,545,서울특별시 금천구
11,560,서울특별시 영등포구
11,590,서울특별시 동작구
11,620,서울특별시 관악구
11,650,서울특별시 서초구
11,680,서울특별시 강남구
11,710,서울특별시 송파구
11,740,서울특별시 강동구
26,110,부산광역시 중구
26,140,부산광역시 서구
26,170,부산광역시 동구
26,200,부산광역시 영도구
26,230,부산광역시 부산진구
26,260,부산광역시 동래구
26,290,부산광역시 남구
26,320,부산광역시 북구
26,350,부산광역시 해운대구
26,380,부산광역시 사하구
26,410,부산광역시 금정구
26,440,부산광역시 강서구
26,470,부산광역시 연제구
26,500,부산광역시 수영구
26,530,부산광역시 사상구
26,710,부산광역시 기장군
27,110,대구광역시 중구
27,140,대구광역시 동구
27,170,대구광역시 서구
27,200,대구광역시 남구
27,230,대구광역시 북구
27,260,대구광역시 수성구
27,290,대구광역시 달서구
27,710,대구광역시 달성군
28,110,인천광역시 중구
28,140,인천광역시 동구
28,177,인천광역시 미추홀구
28,185,인천광역시 연수구
28,200,인천광역시 남동구
28,237,인천광역시 부평구
28,245,인천광역시 계양구
28,260,인천광역시 서구
28,710,인천광역시 강화군
28,720,인천광역시 옹진군
29,110,광주광역시 동구
29,140,광주광역시 서구
29,155,광주광역시 남구
29,170,광주광역시 북구
29,200,광주광역시 광산구
30,110,대전광역시 동구
30,140,대전광역시 중구
30,170,대전광역시 서구
30,200,대전광역시 유성구
30,230,대전광역시 대덕구
31,110,울산광역시 중구
31,140,울산광역시 남구
31,170,울산광역시 동구
31,200,울산광역시 북구
31,710,울산광역시 울주군
36,110,세종특별자치시
41,110,경기도 수원시
41,111,경기도 수원시 장안구
41,113,경기도 수원시 권선구
41,115,경기도 수원시 팔달구
41,117,경기도 수원시 영통구
41,130,경기도 성남시
41,131,경기도 성남시 수정구
41,133,경기도 성남시 중원구
41,135,경기도 성남시 분당구
41,150,경기도 의정부시
41,170,경기도 안양시
41,171,경기도 안양시 만안구
41,173,경기도 안양시 동안구
41,190,경기도 부천시
41,210,경기도 광명시
41,220,경기도 평택시
41,250,경기도 동두천시
41,270,경기도 안산시
41,271,경기도 안산시 상록구
41,273,경기도 안산시 단원구
41,280,경기도 고양시
41,281,경기도 고양시 덕양구
41,285,경기도 고양시 일산동구
41,287,경기도 고양시 일산서구
41,290,경기도 과천시
41,310,경기도 구리시
41,360,경기도 남양주시
41,370,경기도 오산시
41,390,경기도 시흥시
41,410,경기도 군포시
41,430,경기도 의왕시
41,450,경기도 하남시
41,460,경기도 용인시
41,461,경기도 용인시 처인구
41,463,경기도 용인시 기흥구
41,465,경기도 용인시 수지구
41,480,경기도 파주시
41,500,경기도 이천시
41,550,경기도 안성시
41,570,경기도 김포시
41,590,경기도 화성시
41,610,경기도 광주시
41,630,경기도 양주시
41,650,경기도 포천시
41,670,경기도 여주시
41,800,경기도 연천군
41,820,경기도 가평군
41,830,경기도 양평군
